,index,date,is_bear_market
0,0,1990-01-02,0
1,1,1990-01-03,0
2,2,1990-01-04,0
3,3,1990-01-05,0
4,4,1990-01-08,0
5,5,1990-01-09,0
6,6,1990-01-10,0
7,7,1990-01-11,0
8,8,1990-01-12,0
9,9,1990-01-16,0
10,10,1990-01-17,0
11,11,1990-01-18,0
12,12,1990-01-19,0
13,13,1990-01-22,0
14,14,1990-01-23,0
15,15,1990-01-24,0
16,16,1990-01-25,0
17,17,1990-01-26,0
18,18,1990-01-29,0
19,19,1990-01-30,0
20,20,1990-01-31,0
21,21,1990-02-01,0
22,22,1990-02-02,0
23,23,1990-02-05,0
24,24,1990-02-06,0
25,25,1990-02-07,0
26,26,1990-02-08,0
27,27,1990-02-09,0
28,28,1990-02-12,0
29,29,1990-02-13,0
30,30,1990-02-14,0
31,31,1990-02-15,0
32,32,1990-02-16,0
33,33,1990-02-20,0
34,34,1990-02-21,0
35,35,1990-02-22,0
36,36,1990-02-23,0
37,37,1990-02-26,0
38,38,1990-02-27,0
39,39,1990-02-28,0
40,40,1990-03-01,0
41,41,1990-03-02,0
42,42,1990-03-05,0
43,43,1990-03-06,0
44,44,1990-03-07,0
45,45,1990-03-08,0
46,46,1990-03-09,0
47,47,1990-03-12,0
48,48,1990-03-13,0
49,49,1990-03-14,0
50,50,1990-03-15,0
51,51,1990-03-16,0
52,52,1990-03-19,0
53,53,1990-03-20,0
54,54,1990-03-21,0
55,55,1990-03-22,0
56,56,1990-03-23,0
57,57,1990-03-26,0
58,58,1990-03-27,0
59,59,1990-03-28,0
60,60,1990-03-29,0
61,61,1990-03-30,0
62,62,1990-04-02,0
63,63,1990-04-03,0
64,64,1990-04-04,0
65,65,1990-04-05,0
66,66,1990-04-06,0
67,67,1990-04-09,0
68,68,1990-04-10,0
69,69,1990-04-11,0
70,70,1990-04-12,0
71,71,1990-04-13,0
72,72,1990-04-16,0
73,73,1990-04-17,0
74,74,1990-04-18,0
75,75,1990-04-19,0
76,76,1990-04-20,0
77,77,1990-04-23,0
78,78,1990-04-24,0
79,79,1990-04-25,0
80,80,1990-04-26,0
81,81,1990-04-27,0
82,82,1990-04-30,0
83,83,1990-05-01,0
84,84,1990-05-02,0
85,85,1990-05-03,0
86,86,1990-05-04,0
87,87,1990-05-07,0
88,88,1990-05-08,0
89,89,1990-05-09,0
90,90,1990-05-10,0
91,91,1990-05-11,0
92,92,1990-05-14,0
93,93,1990-05-15,0
94,94,1990-05-16,0
95,95,1990-05-17,0
96,96,1990-05-18,0
97,97,1990-05-21,0
98,98,1990-05-22,0
99,99,1990-05-23,0
100,100,1990-05-24,0
