,Semestre,Sharpe Ratio,Sortino Ratio,Kappa 3,Omega Ratio,VaR (95%),CVaR (95%),Maximum Drawdown,Calmar Ratio,Sterling Ratio,Burke Ratio
0,0,0.8428301959948398,1.5255855849395943,0.9537596602861429,17.68695509537678,-0.0012032314090540343,-0.0053336767416833205,-0.01173694655297091,116.04132760924972,,68.30971529871715
1,1,0.6164792059770497,1.6062433914212229,0.9772093913392806,13.54917756135954,-0.002140685005187744,-0.004423840380713025,-0.011610201112581655,91.58579978830102,,67.81524934269983
2,2,0.354445584168833,0.205910191459316,0.1267687771884858,3.6465179226860895,-0.003920146987044079,-0.019926349541906765,-0.06730516864613335,12.576653029262776,,4.02926639718575
3,3,0.6840239597074316,1.804936334185646,0.9687051674934439,10.360671434147163,-0.0027873980236783626,-0.0040099225843409384,-0.00509072905286606,153.52520147875887,,62.19985507837602
4,4,0.6086629399112966,0.8829788216805029,0.5547487160720558,10.564387432866775,-0.0016385697106172854,-0.005907629204017577,-0.014436930225336316,65.78143288213971,,40.78647120948045
5,11,0.7732972607154537,3.3470273582651795,1.8145402594518298,32.4226416131909,-0.0008322917594942519,-0.0021889332023833424,-0.0045772658625104256,245.73113477230453,,187.27821325416588
6,12,0.6749019981435428,0.6998602328829782,0.4250689669849258,10.793255158021058,-0.0016091929697815254,-0.0052071784178903385,-0.02101084660075476,37.98549711812736,,27.08454224779544
7,14,0.46364323340714514,0.4785270338980127,0.2833724555477259,4.102041912720846,-0.005242028173673348,-0.010909766864572545,-0.0248453899740648,24.752194064980785,,7.698902595134102
8,18,0.5990576270747136,0.8102475342857822,0.47945909921220686,8.292674580723608,-0.002817050265724035,-0.006958553598017729,-0.01761809014687473,49.078647132960256,,21.375763466944434
9,19,0.7612185809064251,2.228342554954179,1.2179840078702546,15.652488418253782,-0.0018244317860184995,-0.003166447046930567,-0.006128347479226344,144.06158194048967,,64.75304466497117
10,20,0.4506113543906163,0.33286156635178404,0.20385732501577056,4.57102629694109,-0.003168121442022394,-0.011969660121475574,-0.030786931085935738,20.81436570400196,,10.98949036651743
11,21,0.5278543625003275,0.5972154999429741,0.37440802090549313,6.389353369164047,-0.0025546810249017565,-0.007157511616000766,-0.013662983304047985,45.77152807033851,,17.250723465660595
12,22,0.5538578481810733,1.096653435903719,0.6172635616002253,5.479614617710519,-0.006079542732908263,-0.009226637347881471,-0.022183740662017275,48.20180836224327,,20.06443647467741
13,23,0.5432725127468364,0.9223729533175212,0.5561794164860857,6.088534137309919,-0.005244065885169207,-0.009322762109127537,-0.01844756400218239,54.68696146101386,,23.08368465800105
14,24,0.5723271871486195,0.6890239562101558,0.4000960585927664,5.444993335747111,-0.007314023245022218,-0.013504802584318154,-0.030615586497776685,39.99243998873206,,19.992425230110932
15,25,0.4637968633040456,0.59247253167895,0.367255772170788,5.251287233267147,-0.005461018437382319,-0.01402847003041675,-0.038956271343901366,25.697435712398605,,10.042102343022536
16,26,0.5870462294052712,1.3900187562537911,0.8234708945384986,6.779292008967664,-0.006198496593611537,-0.008740244557404454,-0.010110811301847678,116.5839271320416,,52.30877773649624
17,27,0.8087059492109,1.5992406862589477,0.8018261001148775,10.728670900107877,-0.0052898197590782025,-0.008965234255348073,-0.011761376950737748,133.3861823358413,,59.927693431424245
18,28,0.7259707151348446,1.8643388198381432,1.0289628685621663,12.633832083062252,-0.00360248196979615,-0.006911708030909895,-0.0126393785230648,125.51883262740431,,69.15003466575016
19,29,0.6532125023447097,1.114534944433248,0.5968174207217871,6.9005269633197654,-0.007008430815076133,-0.011155782769970136,-0.015477919090796675,82.44051760828322,,34.75686363464437
20,30,0.9152583157984022,5.643000063817164,3.031494108439576,35.070931200666294,-0.0016756998790580361,-0.0022648580531690853,-0.003496098913969452,423.9801657232732,,260.64233468915893
21,31,0.37182683889078516,0.46887140910486874,0.25079827575591795,2.818567573620827,-0.009902127007270596,-0.014877942945855474,-0.028129357019193564,27.7916965092872,,12.67317012744029
22,32,0.7609526275853762,1.3916312229713614,0.8235771862428161,9.283593291339074,-0.007055197389305187,-0.010510738911987299,-0.016325455962727834,105.8139398022448,,52.193098279282054
23,33,0.6418807740507384,1.5202936162649041,0.7567969305505214,6.041528349252368,-0.004254511339034861,-0.004772760956128583,-0.006227279265927953,113.39447056396318,,41.64684058317507
