Operação,Semestre,Abertura,Fechamento,Dias,Retorno total,Ticker 1,Ticker 2,Converged,Index,Retorno total - exp
1,0,291,305,14,0.04834945433446447,291784Q,ZRN,True,291784Q-ZRN-1,1.0495373566265145
2,0,310,322,12,0.03209992043672072,291784Q,ZRN,True,291784Q-ZRN-2,1.0326206800597177
3,0,328,334,6,0.01574727876039428,291784Q,ZRN,True,291784Q-ZRN-3,1.0158719205514528
4,0,336,338,2,0.026457046404802398,291784Q,ZRN,True,291784Q-ZRN-4,1.0268101411272836
5,0,350,359,9,0.007149796286371801,291784Q,ZRN,True,291784Q-ZRN-5,1.007175417104652
6,0,361,379,18,-0.021293801916080435,291784Q,ZRN,False,291784Q-ZRN-6,0.978931310420146
1,0,253,264,11,0.01656418777936275,291784Q,CKL,True,291784Q-CKL-1,1.0167021345439475
2,0,289,307,18,0.023891689158111573,291784Q,CKL,True,291784Q-CKL-2,1.0241793821518328
3,0,310,318,8,0.029366525153913248,291784Q,CKL,True,291784Q-CKL-3,1.0298019736383162
4,0,325,338,13,0.04275592952679119,291784Q,CKL,True,291784Q-CKL-4,1.0436831315259831
5,0,351,359,8,0.08621788290903765,291784Q,CKL,True,291784Q-CKL-5,1.0900438043482734
6,0,361,379,18,-0.0014008908502836093,291784Q,CKL,False,291784Q-CKL-6,0.9986000899392571
1,0,252,280,28,0.10162439144035806,291784Q,667517Q,True,291784Q-667517Q-1,1.1069676071231882
2,0,283,285,2,0.0025316924486595838,291784Q,667517Q,True,291784Q-667517Q-2,1.0025348998881658
3,0,321,350,29,0.016157187860473377,291784Q,667517Q,True,291784Q-667517Q-3,1.0162884210540428
1,0,252,272,20,0.044688596085226795,2200Q,291784Q,True,2200Q-291784Q-1,1.0457021734508305
2,0,281,289,8,0.022648761290622765,2200Q,291784Q,True,2200Q-291784Q-2,1.0229071918406247
3,0,307,310,3,0.05675163743340006,2200Q,291784Q,True,2200Q-291784Q-3,1.0583929125696252
4,0,327,350,23,0.04690465183931147,2200Q,291784Q,True,2200Q-291784Q-4,1.0480220773381423
5,0,359,361,2,0.01703751110812135,2200Q,291784Q,True,2200Q-291784Q-5,1.0171834772890147
1,0,290,305,15,0.05511275880611999,PRDCQ,291784Q,True,PRDCQ-291784Q-1,1.0566597556507933
2,0,310,318,8,0.07232527532893007,PRDCQ,291784Q,True,PRDCQ-291784Q-2,1.0750049597919433
3,0,328,334,6,0.06693285069500199,PRDCQ,291784Q,True,PRDCQ-291784Q-3,1.0692236781370916
4,0,350,359,9,0.10143312741916777,PRDCQ,291784Q,True,PRDCQ-291784Q-4,1.106755904293535
5,0,361,379,18,0.0221216247515148,PRDCQ,291784Q,False,PRDCQ-291784Q-5,1.02236812217783
1,0,290,305,15,0.000144608579079053,TKR,291784Q,True,TKR-291784Q-1,1.0001446190354037
2,0,328,334,6,0.00019188016968207933,TKR,291784Q,True,TKR-291784Q-2,1.0001918985798592
3,0,351,359,8,0.00034016295392147455,TKR,291784Q,True,TKR-291784Q-3,1.0003402208158998
4,0,361,379,18,8.433689302989045e-05,TKR,291784Q,False,TKR-291784Q-4,1.0000843404494857
1,0,252,261,9,0.06636692645905784,BAC1,291784Q,True,BAC1-291784Q-1,1.0686187497319561
2,0,263,281,18,-0.10439429983413451,BAC1,291784Q,True,BAC1-291784Q-2,0.9008700144845183
3,0,282,289,7,0.07182324004071505,BAC1,291784Q,True,BAC1-291784Q-3,1.074465404816273
4,0,351,356,5,0.1444035236161092,BAC1,291784Q,True,BAC1-291784Q-4,1.1553502255748664
5,0,364,379,15,0.024100151350528787,BAC1,291784Q,False,BAC1-291784Q-5,1.0243929070864293
1,0,256,264,8,0.02705995511472281,MZIAQ,291784Q,True,MZIAQ-291784Q-1,1.0274294005644997
