,Operação,Semestre,Abertura,Fechamento,Dias,Retorno total,Ticker 1,Ticker 2,Converged,Index,Retorno total - exp,date,is_bear_market
0,1,0,291,305,14,0.0483494543344644,291784Q,ZRN,True,291784Q-ZRN-1,1.0495373566265145,1992-07-29,0
1,2,0,310,322,12,0.0320999204367207,291784Q,ZRN,True,291784Q-ZRN-2,1.0326206800597175,1992-08-25,0
2,3,0,328,334,6,0.0157472787603942,291784Q,ZRN,True,291784Q-ZRN-3,1.0158719205514528,1992-09-21,0
3,4,0,336,338,2,0.0264570464048023,291784Q,ZRN,True,291784Q-ZRN-4,1.0268101411272836,1992-10-01,0
4,5,0,350,359,9,0.0071497962863718,291784Q,ZRN,True,291784Q-ZRN-5,1.007175417104652,1992-10-22,0
5,6,0,361,379,18,-0.0212938019160804,291784Q,ZRN,False,291784Q-ZRN-6,0.978931310420146,1992-11-06,0
6,1,0,253,264,11,0.0165641877793627,291784Q,CKL,True,291784Q-CKL-1,1.0167021345439475,1992-06-04,0
7,2,0,289,307,18,0.0238916891581115,291784Q,CKL,True,291784Q-CKL-2,1.0241793821518328,1992-07-27,0
8,3,0,310,318,8,0.0293665251539132,291784Q,CKL,True,291784Q-CKL-3,1.0298019736383162,1992-08-25,0
9,4,0,325,338,13,0.0427559295267911,291784Q,CKL,True,291784Q-CKL-4,1.0436831315259831,1992-09-16,0
10,5,0,351,359,8,0.0862178829090376,291784Q,CKL,True,291784Q-CKL-5,1.0900438043482734,1992-10-23,0
11,6,0,361,379,18,-0.0014008908502836,291784Q,CKL,False,291784Q-CKL-6,0.9986000899392572,1992-11-06,0
12,1,0,252,280,28,0.101624391440358,291784Q,667517Q,True,291784Q-667517Q-1,1.1069676071231882,1992-06-03,0
13,2,0,283,285,2,0.0025316924486595,291784Q,667517Q,True,291784Q-667517Q-2,1.0025348998881658,1992-07-17,0
14,3,0,321,350,29,0.0161571878604733,291784Q,667517Q,True,291784Q-667517Q-3,1.0162884210540428,1992-09-10,0
15,1,0,252,272,20,0.0446885960852267,2200Q,291784Q,True,2200Q-291784Q-1,1.0457021734508305,1992-06-03,0
16,2,0,281,289,8,0.0226487612906227,2200Q,291784Q,True,2200Q-291784Q-2,1.0229071918406247,1992-07-15,0
17,3,0,307,310,3,0.0567516374334,2200Q,291784Q,True,2200Q-291784Q-3,1.0583929125696252,1992-08-20,0
18,4,0,327,350,23,0.0469046518393114,2200Q,291784Q,True,2200Q-291784Q-4,1.0480220773381423,1992-09-18,0
19,5,0,359,361,2,0.0170375111081213,2200Q,291784Q,True,2200Q-291784Q-5,1.0171834772890147,1992-11-04,0
20,1,0,290,305,15,0.0551127588061199,PRDCQ,291784Q,True,PRDCQ-291784Q-1,1.0566597556507933,1992-07-28,0
21,2,0,310,318,8,0.07232527532893,PRDCQ,291784Q,True,PRDCQ-291784Q-2,1.075004959791943,1992-08-25,0
22,3,0,328,334,6,0.0669328506950019,PRDCQ,291784Q,True,PRDCQ-291784Q-3,1.0692236781370916,1992-09-21,0
23,4,0,350,359,9,0.1014331274191677,PRDCQ,291784Q,True,PRDCQ-291784Q-4,1.106755904293535,1992-10-22,0
24,5,0,361,379,18,0.0221216247515148,PRDCQ,291784Q,False,PRDCQ-291784Q-5,1.02236812217783,1992-11-06,0
25,1,0,290,305,15,0.000144608579079,TKR,291784Q,True,TKR-291784Q-1,1.0001446190354035,1992-07-28,0
26,2,0,328,334,6,0.000191880169682,TKR,291784Q,True,TKR-291784Q-2,1.0001918985798592,1992-09-21,0
27,3,0,351,359,8,0.0003401629539214,TKR,291784Q,True,TKR-291784Q-3,1.0003402208158998,1992-10-23,0
28,4,0,361,379,18,8.433689302989045e-05,TKR,291784Q,False,TKR-291784Q-4,1.0000843404494857,1992-11-06,0
29,1,0,252,261,9,0.0663669264590578,BAC1,291784Q,True,BAC1-291784Q-1,1.068618749731956,1992-06-03,0
30,2,0,263,281,18,-0.1043942998341345,BAC1,291784Q,True,BAC1-291784Q-2,0.9008700144845184,1992-06-18,0
31,3,0,282,289,7,0.071823240040715,BAC1,291784Q,True,BAC1-291784Q-3,1.074465404816273,1992-07-16,0
32,4,0,351,356,5,0.1444035236161092,BAC1,291784Q,True,BAC1-291784Q-4,1.1553502255748664,1992-10-23,0
33,5,0,364,379,15,0.0241001513505287,BAC1,291784Q,False,BAC1-291784Q-5,1.0243929070864293,1992-11-12,0
34,1,0,256,264,8,0.0270599551147228,MZIAQ,291784Q,True,MZIAQ-291784Q-1,1.0274294005644995,1992-06-09,0
35,2,0,291,297,6,0.1019570414664956,MZIAQ,291784Q,True,MZIAQ-291784Q-2,1.1073359011797488,1992-07-29,0
36,3,0,317,339,22,0.083136030057564,MZIAQ,291784Q,True,MZIAQ-291784Q-3,1.0866896209462371,1992-09-03,0
